"ID"|"UKCPVS ID"|"Date collected"|"Name/Collector"|"Company"|"Country"|"County"|"Town"|"Postal code"|"GPS"|"Further Location information"|"Rust (YR/SR/LR)"|"Host"|"Variety"|"KASP assays? (Selected/In progress/Completed/Failed)"|"RNA-seq? (Selected/In progress/Completed/Failed)"|"Library name"|"Public comments"|"Private comments"
"14.0200"|"14/68"|27/05/2014||"NIAB"|||||||"YR"|"Wheat"|"Solstice"|||||"NIAB: 14/68"
"14.0202"|"14/71"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"Victo"|||||"NIAB: 14/71"
"14.0203"|"14/75"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"KWS Sterling"||"Completed"|"LIB14879"||"NIAB: 14/75"
"14.0204"|"14/89"|09/06/2014||"NIAB"|"UK"|"Norfolk"|"Morley"|" NR18 9DF"||"Morley, NR18 9DF"|"YR"|"Wheat"|"Panacea"|||||"NIAB: 14/89"
"14.0208"|"14/74"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"Cordiale"|||||"NIAB: 14/74"
"14.0209"|"14/76"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"Relay"|||||"NIAB: 14/76"
"14.0212"|"T14/06"|05/06/2014||"NIAB"|"UK"|||||"plot 10"|"YR"|"Triticale"|"spring triticale"|||||"NIAB: T14/06"
"14.0213"|"14/73"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"Claire"|||||"NIAB: 14/73"
"14.0218"|"14/63"|||"NIAB"|"UK"|"Norfolk"|"Morley"||||"YR"|"Wheat"|"Cordiale"||"Completed"|"LIB14882"||"NIAB: 14/63"
"14.0219"|"14/72"|02/06/2014||"NIAB"|"UK"|"Hampshire"|"Sutton Scotney"|" SO21 3NE"||"Norton, Sutton Scotney, Wincester SO21 3NE"|"YR"|"Wheat"|"Warrior"|||||"NIAB: 14/72"
"14.0222"|"14/62"|May-14||"NIAB"|"UK"|"Norfolk"|"Morley"|||"Morley"|"YR"|"Wheat"|"Robigus"|||||"NIAB: 14/62"
"14.0223"||"July 2014"|"Rosemary Bayles"|"-"|"UK"|||"LD8 2NT"|||"YR"|"Wheat"|"AC Barrie"||||"half of a stripe"|
"14.0225"||"Early August 2014"|"Rosemary Bayles"|"-"|"UK"|||"LD8 2NT"|||"YR"|"Wheat"|"AC Barrie"||"Completed"|"LIB14075"|"single stripe"|
"14.0226"||"Early August 2014"|"Rosemary Bayles"|"-"|"UK"|||"LD8 2NT"|||"YR"|"Wheat"|"AC Barrie"||"Completed"|"LIB14883"|"single stripe"|
"14.0227"||"Early August 2014"|"Rosemary Bayles"|"-"|"UK"|||"LD8 2NT"|||"YR"|"Wheat"|"AC Barrie"||"Completed"|"LIB14077"|"single stripe"|
"14.0228a"||06/05/2014|||"Germany"||||||"YR"||||||"Sample A 1 of 4"|
"14.0237"||09/12/2014|"Dave Hodson"||"Ethiopia"||"Sembo"|||"Sembo"|"YR"|"Wheat"|"Digalu"||"Completed"|"LIB14656"|"4E YR 2"|
"14.0238"||01/12/2014|"Dave Hodson"||"Ethiopia"||"Sinanars"|||"Sinanars"|"YR"|"Wheat"|"Hidasse"||"Completed"|"LIB14657"|"4E YR 3"|
"14.0239"||01/12/2014|"Dave Hodson"||"Ethiopia"||"Sinanars"|||"Sinanars"|"YR"||"Henkolo"||"Completed"|"LIB14658"|"4E YR 4"|
"14.0252"||10/01/2014|"Clare Lewis"||"UK"|||"NR4 7UH"||"JIC, Burkhard"|"YR"|"Wheat"||||||"78-66 SS1"
"14.0253"|"12/83"|08/01/2014|"Clare Lewis"||"UK"|||"NR4 7UH"||"JIC, Burkhard"|"YR"|"Wheat"||||||"12/83"
"14.0254"|"14/601"|30/07/2014|"A. Hubbard"|"NIAB"|||||||"YR"|"Wheat"|"Victo"|||||"14/601"
"14.0255"|"14/602"|30/07/2014|"A. Hubbard"|"NIAB"|||||||"YR"|"Wheat"|"Victo"|||||"14/602"
"14.0256"|"14/603"|30/07/2014|"A. Hubbard"|"NIAB"|||||||"YR"|"Wheat"|"Victo"|||||"14/603"
"14.0257"|"14/1"|19/09/2014|"A. Hubbard"|"NIAB"|||||||"YR"|||||||"CF 14/1"
"14.0258"|"14/2"|19/09/2014|"A. Hubbard"|"NIAB"|||||||"YR"|||||||"CF 14/2"
"14.0259"|"14/3"|01/10/2014|"A. Hubbard"|"NIAB"|||||||"YR"|||||||"CF 14/3"
"14.0260"|"14/3"|01/10/2014|"A. Hubbard"|"NIAB"|||||||"YR"|||||||"CF 14/3 2nd tube, older leaf"
